CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES00XXXXXXXXXXXXXXDB;06/09/2015;1;0,267;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;2;0,143;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;3;0,118;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;4;0,106;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;5;0,108;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;6;0,099;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;7;0,106;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;8;0,1;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;9;0,106;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;10;0,102;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;11;0,201;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;12;0,167;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;13;0,171;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;14;0,497;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;15;0,209;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;16;0,115;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;17;0,116;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;18;0,102;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;19;0,109;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;20;0,356;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;21;0,637;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;22;0,457;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;23;0,363;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;24;0,321;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;1;0,257;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;2;0,105;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;3;0,107;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;4;0,098;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;5;0,112;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;6;0,093;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;7;0,125;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;8;0,185;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;9;0,137;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;10;0,155;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;11;0,448;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;12;0,499;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;13;0,137;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;14;0,102;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;15;0,112;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;16;0,099;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;17;0,115;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;18;0,129;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;19;0,17;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;20;0,268;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;21;1,687;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;22;0,361;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;23;0,4;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;24;0,567;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;1;0,372;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;2;0,145;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;3;0,141;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;4;0,12;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;5;0,118;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;6;0,098;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;7;0,111;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;8;0,202;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;9;0,303;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;10;0,118;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;11;0,8;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;12;1,094;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;13;0,434;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;14;0,162;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;15;0,16;R
