Fecha;EUA;CER;SPREAD (EUA - CER)
04-01-2021;33.55;0.38;"33,17"
05-01-2021;32.84;0.38;"32,46"
06-01-2021;33.51;0.38;"33,13"
07-01-2021;34.64;0.37;"34,27"
08-01-2021;34.80;0.37;"34,43"
11-01-2021;34.42;0.37;"34,05"
12-01-2021;34.54;0.37;"34,17"
13-01-2021;33.48;0.37;"33,11"
14-01-2021;33.42;0.36;"33,06"
15-01-2021;31.64;0.36;"31,28"
18-01-2021;31.53;0.36;"31,17"
19-01-2021;32.99;0.36;"32,63"
20-01-2021;32.82;0.36;"32,46"
21-01-2021;33.98;0.35;"33,63"
22-01-2021;34.15;0.36;"33,79"
25-01-2021;33.08;0.35;"32,73"
26-01-2021;33.27;0.35;"32,92"
27-01-2021;33.21;0.35;"32,86"
28-01-2021;33.83;0.37;"33,46"
29-01-2021;32.88;0.38;"32,5"
01-02-2021;32.81;0.38;"32,43"
02-02-2021;34.87;0.38;"34,49"
03-02-2021;37.38;0.39;"36,99"
04-02-2021;37.22;0.40;"36,82"
05-02-2021;37.99;0.41;"37,58"
08-02-2021;38.51;0.41;"38,1"
09-02-2021;38.21;0.40;"37,81"
10-02-2021;39.24;0.40;"38,84"
11-02-2021;38.71;0.40;"38,31"
12-02-2021;39.92;0.40;"39,52"
15-02-2021;39.47;0.39;"39,08"
16-02-2021;38.82;0.39;"38,43"
17-02-2021;37.99;0.39;"37,6"
18-02-2021;38.19;0.40;"37,79"
19-02-2021;37.37;0.39;"36,98"
22-02-2021;37.92;0.39;"37,53"
23-02-2021;38.62;0.39;"38,23"
24-02-2021;39.10;0.38;"38,72"
25-02-2021;38.20;0.38;"37,82"
26-02-2021;37.22;0.37;"36,85"
01-03-2021;37.08;0.36;"36,72"
02-03-2021;38.30;0.37;"37,93"
03-03-2021;37.42;0.36;"37,06"
04-03-2021;38.11;0.37;"37,74"
05-03-2021;38.98;0.37;"38,61"
08-03-2021;39.07;0.37;"38,7"
09-03-2021;40.58;0.37;"40,21"
10-03-2021;41.47;0.38;"41,09"
11-03-2021;41.86;0.38;"41,48"
12-03-2021;42.79;0.39;"42,4"
15-03-2021;42.30;0.39;"41,91"
16-03-2021;41.49;0.39;"41,1"
17-03-2021;42.87;0.40;"42,47"
18-03-2021;42.28;0.44;"41,84"
19-03-2021;41.85;0.44;"41,41"
22-03-2021;42.72;0.48;"42,24"
23-03-2021;41.32;0.50;"40,82"
24-03-2021;41.49;0.50;"40,99"
25-03-2021;40.26;0.50;"39,76"
26-03-2021;41.63;0.50;"41,13"
29-03-2021;41.75;0.50;"41,25"
30-03-2021;41.95;0.50;"41,45"
31-03-2021;42.45;0.50;"41,95"
01-04-2021;42.37;0.52;"41,85"
06-04-2021;44.14;0.54;"43,6"
07-04-2021;43.77;0.59;"43,18"
08-04-2021;43.38;0.59;"42,79"
09-04-2021;43.16;0.60;"42,56"
12-04-2021;44.32;0.60;"43,72"
13-04-2021;43.76;0.61;"43,15"
14-04-2021;43.73;0.61;"43,12"
15-04-2021;44.08;0.61;"43,47"
16-04-2021;44.33;0.62;"43,71"
19-04-2021;44.27;0.62;"43,65"
20-04-2021;44.81;0.62;"44,19"
21-04-2021;45.82;0.62;"45,2"
22-04-2021;46.98;0.62;"46,36"
23-04-2021;46.83;0.62;"46,21"
26-04-2021;47.11;0.62;"46,49"
27-04-2021;47.20;0.62;"46,58"
28-04-2021;47.69;0.62;"47,07"
29-04-2021;47.91;0.62;"47,29"
30-04-2021;48.75;0.62;"48,13"
03-05-2021;49.30;0.00;"49,3"
04-05-2021;48.52;0.00;"48,52"
05-05-2021;49.34;0.00;"49,34"
06-05-2021;49.82;0.00;"49,82"
07-05-2021;50.45;0.00;"50,45"
10-05-2021;51.83;0.00;"51,83"
11-05-2021;52.94;0.00;"52,94"
12-05-2021;55.17;0.00;"55,17"
13-05-2021;54.47;0.00;"54,47"
14-05-2021;56.49;0.00;"56,49"
17-05-2021;56.15;0.00;"56,15"
18-05-2021;52.90;0.00;"52,9"
19-05-2021;49.55;0.00;"49,55"
20-05-2021;52.56;0.00;"52,56"
21-05-2021;51.29;0.00;"51,29"
24-05-2021;52.68;0.00;"52,68"
25-05-2021;51.24;0.00;"51,24"
26-05-2021;52.81;0.00;"52,81"
27-05-2021;51.76;0.00;"51,76"
28-05-2021;50.97;0.00;"50,97"
31-05-2021;51.50;0.00;"51,5"
01-06-2021;52.32;0.00;"52,32"
02-06-2021;51.32;0.00;"51,32"
03-06-2021;50.17;0.00;"50,17"
04-06-2021;50.02;0.00;"50,02"
07-06-2021;51.38;0.00;"51,38"
08-06-2021;52.02;0.00;"52,02"
09-06-2021;53.42;0.00;"53,42"
10-06-2021;52.80;0.00;"52,8"
11-06-2021;52.58;0.00;"52,58"
14-06-2021;52.80;0.00;"52,8"
15-06-2021;51.30;0.00;"51,3"
16-06-2021;51.24;0.00;"51,24"
